"","ID_no_Rep_dup","LogPopBio","Time","I(Time^2)",".fitted",".resid",".hat",".sigma",".cooksd",".std.resid"
"726","13_1",5.68797906407494,109.619695218642,12016.477579828,5.7758327316734,-0.0878536675984591,0.175761920149327,0.879774029958497,0.0009811099753548,-0.11748526920346
"727","13_1",7.21622096200533,119.719472341425,14332.7520577092,6.23385524878569,0.98236571321964,0.17254427106048,0.78021093852309,0.119491183365169,1.31114483946535
"728","13_1",7.71542013699131,155.486835910009,24176.1561413061,7.4683148442118,0.247105292779506,0.186143523590809,0.874426649374839,0.00843130574347336,0.332550797099179
"729","13_1",8.17929640878007,167.838155703477,28169.6465099446,7.75419176081696,0.425104647963114,0.248023617938277,0.86081870189711,0.0389452776157078,0.595173533453454
"730","13_1",7.400672016118,194.043773125129,37652.9858886365,8.12202202035743,-0.721350004239425,0.645331269576514,0.75216341048707,1.31161823545158,-1.4705657465202
"731","140_1",4.45054945054946,3.37756332931245,11.4079340435162,4.05639547832137,0.39415397222809,0.438914383971726,0.708891560476262,0.151216312875371,0.761525780439629
"732","140_1",5.38461538461539,8.68516284680339,75.432053675494,5.36476029108966,0.01985509352573,0.328695799172246,0.732846997753345,0.000200744929334093,0.0350707880751705
"733","140_1",8.46153846153847,24.1254523522316,582.037451199797,8.85563582062845,-0.394097359089978,0.170470605951113,0.716752668400399,0.0268619960362239,-0.626211307054408
"734","140_1",10.3296703296703,32.810615199035,1076.53646973915,10.6130403788473,-0.283370049176998,0.151281735030454,0.724783884912356,0.0117736894560505,-0.445149040489742
"735","140_1",13.4065934065934,51.145958986731,2615.90912067237,13.8355376584557,-0.428944251862315,0.178722226715072,0.71353628273443,0.0340365410440595,-0.684997660136065
"736","140_1",15.1648351648352,59.3486127864898,3522.2578396807,15.0629488595226,0.101886305312643,0.195929911016556,0.731795282824999,0.00219629079313917,0.164437979064759
"737","140_1",18.956043956044,83.956574185766,7048.70634901003,17.9505753167843,1.00546863925966,0.198225033275011,0.616055359013952,0.217638567823722,1.62508302384843
"738","140_1",18.6813186813187,96.0193003618818,9219.70604198528,18.9307400803545,-0.24942139903585,0.173650800635736,0.726448624636847,0.0110449124199283,-0.397086549006549
"739","140_1",20.1098901098901,101.326899879373,10267.1406391645,19.2712788883809,0.838611221509201,0.162976726326203,0.657352915776222,0.11421342286905,1.32655473112273
"740","140_1",19.2307692307692,122.074788902292,14902.2540855392,20.0704466949907,-0.839677464221527,0.186171495619825,0.654862350593485,0.138362268778796,-1.34703636226014
"741","140_1",19.2857142857143,128.829915560917,16597.147143433,20.1477987358479,-0.862084450133569,0.242374004057614,0.64383225776151,0.219089321698713,-1.4333612121502
"742","140_1",20.6593406593407,145.235223160434,21093.2700464611,19.9617209176558,0.697619741684875,0.572587278228445,0.628336641195084,1.06495097480477,1.54428804739658
"743","141_1",5.21978021978022,2.89505428226779,8.38133929727707,5.38784905667228,-0.168068836892063,0.440499318573223,0.550209591405829,0.0477446260179953,-0.426530964488869
"744","141_1",6.70329670329671,6.75512665862486,45.6317361740643,6.95485250402628,-0.251555800729566,0.328487158508,0.545774293749318,0.0553712758015344,-0.582734667258263
"745","141_1",11.4835164835165,19.7828709288299,391.361982186743,11.6574943792501,-0.173977895733625,0.149875840281805,0.551710179847557,0.0075398232763901,-0.358192571221933
"746","141_1",13.1318681318681,24.1254523522316,582.037451199797,13.0241291819871,0.107738949880973,0.135243566688271,0.553939287897163,0.00252162553810001,0.21993255395022
"747","141_1",15,28.9505428226779,838.133929727707,14.4247932439455,0.575206756054538,0.133367017046081,0.515674537218112,0.0705719426260753,1.17292448293609
"748","141_1",18.956043956044,47.7683956574186,2281.81962368369,18.7023714606225,0.253672495421473,0.167797378747885,0.547492980813821,0.0187275032511387,0.527864579927222
"749","141_1",19.3956043956044,50.1809408926418,2518.12682887081,19.1143568638641,0.281247531740338,0.169854896337035,0.545667473014829,0.0234182044933264,0.585970016843546
"750","141_1",20.1098901098901,53.5585042219542,2868.51337449309,19.639048005327,0.470842104563079,0.170602545122347,0.527864512437041,0.0660414802686418,0.981426144571463
"751","141_1",20.8241758241758,67.0687575392039,4498.21823785252,21.1301143019684,-0.305938477792555,0.15342359196156,0.544109941435259,0.0240676746193444,-0.631196672560154
"752","141_1",20.989010989011,74.3063932448734,5521.44007706177,21.5289351408417,-0.539924151830743,0.143986539592053,0.520097054574891,0.0688069522794921,-1.10778667740163
"753","141_1",20.7142857142857,80.5790108564536,6492.97699060447,21.6488633678729,-0.934577653587169,0.150551980289165,0.440558093313444,0.218902008498414,-1.92491106275655
"754","141_1",20.8791208791209,96.5018094089264,9312.59921919676,21.0119843425657,-0.132863463444796,0.33885595502733,0.552606092751019,0.0164376672704633,-0.310185294143948
"755","141_1",21.2637362637363,102.291917973462,10463.6364826895,20.4455378213862,0.818198442350059,0.517454211825245,0.392673868589648,1.78697414853518,2.23590354119534
"756","142_1",6.97802197802198,4.34258142340171,18.8580134188736,6.81575319599572,0.162268782026259,0.470345630260202,0.71727692568822,0.0317940086037584,0.327733619298047
"757","142_1",8.57142857142858,7.72014475271413,59.6006350028595,8.85461005891686,-0.283181487488283,0.293500019434947,0.711696712334505,0.0339591556500453,-0.495211907747236
"758","142_1",10.6593406593407,12.0627261761158,145.509362799949,11.2491974543821,-0.589856795041431,0.183580052032429,0.683688214856166,0.069013616705351,-0.959559877985132
"759","142_1",13.5714285714286,15.9227985524729,253.535513742633,13.16351958395,0.40790898747864,0.156910493565051,0.704294523320292,0.0264529742752946,0.652993306915089
"760","142_1",17.3076923076923,25.0904704463209,629.531707217703,16.9020596426744,0.405632665017926,0.192999408921231,0.703714715172124,0.0351170038588621,0.66370989429159
"761","142_1",19.6153846153846,29.9155609167672,894.940784964809,18.4129623057267,1.2024223096579,0.205824680486616,0.54141874845513,0.339798978079158,1.98326674522332
"762","142_1",19.3406593406593,34.2581423401689,1173.62031659927,19.5034497028074,-0.162790362148129,0.197477157811346,0.718729922570359,0.00585197930791115,-0.267105164702776
"763","142_1",19.010989010989,38.6007237635706,1490.01587507148,20.3387871002042,-1.32779808921522,0.174291001515378,0.50378699955378,0.324584927846627,-2.14783456954384
"764","142_1",20.989010989011,44.8733413751508,2013.61676617082,21.0949355636687,-0.105924574657696,0.148604013906373,0.720453414486588,0.0016565484456339,-0.168738128159706
"765","142_1",21.2087912087912,48.7334137515079,2374.94561587566,21.2956576953592,-0.0868664865680202,0.170861714465516,0.720807064769126,0.00135063709783651,-0.140223585949418
"766","142_1",21.3186813186813,52.5934861278649,2766.07478308192,21.2947798272995,0.0239014913818174,0.256936550416699,0.721529151828009,0.000191455316862528,0.0407562622698204
"767","142_1",21.3186813186813,57.9010856453559,3352.53571891084,20.9643977591251,0.354283559556208,0.548669277184213,0.697092124505742,0.243481622118948,0.775150172758976
"768","143_1",5.76923076923077,1.44752714113389,2.09533482431925,5.73273886569611,0.0364919035346576,0.464374092742542,0.443258294691446,0.00425730456204122,0.121373753725553
"769","143_1",7.80219780219781,3.37756332931245,11.4079340435162,8.12767272644848,-0.325474924250672,0.28657336828176,0.41490311824343,0.117806462195484,-0.937998035594419
"770","143_1",10.6593406593407,5.7901085645356,33.5253571891085,10.849762176536,-0.190421517195333,0.188571616274143,0.435252149517194,0.0205118497316253,-0.514576532770318
"771","143_1",13.0769230769231,7.72014475271413,59.6006350028595,12.8101714359238,0.266751640999294,0.175294522649764,0.427214356540867,0.0362227683705265,0.715017569009624
"772","143_1",17.0879120879121,12.0627261761158,145.509362799949,16.5149897923289,0.572922295583233,0.236238044195951,0.353927090418602,0.262556087991425,1.59579009615843
"773","143_1",20.3296703296703,18.8178528347406,354.111585309955,20.3347499906341,-0.00507966096382617,0.282698834352754,0.443718697724719,2.80018838047412e-05,-0.0145996690556715
"774","143_1",21.4835164835165,22.6779252110977,514.288291880141,21.4552988561714,0.0282176273450894,0.233299144149862,0.443530372526605,0.000624164534185209,0.0784452357497216
"775","143_1",21.2637362637363,25.5729794933655,653.977280168092,21.7887651370657,-0.525028873329411,0.201386143739347,0.37331542896962,0.171917121055633,-1.43012441144681
"776","143_1",21.2087912087912,29.4330518697226,866.304542365781,21.5574596872466,-0.348668478455352,0.2729865799638,0.411123602476487,0.124016270400712,-0.995406622024039
"777","143_1",21.0439560439561,33.2931242460796,1108.43212206489,20.5536660572238,0.490289986732336,0.658577653650075,0.282042101230178,2.68241521390241,2.04251900048167
"778","144_1",3.7912087912088,0.48250904704463,0.232814980479917,3.29146858033504,0.499740210873764,0.509743063487238,0.696539760960838,0.360892654988129,1.02043620792697
"779","144_1",4.78021978021978,31.3630880579011,983.643292527658,4.16919407236857,0.61102570785121,0.241572210174056,0.698995504749211,0.106837344327706,1.00312672740883
"780","144_1",4.23076923076924,46.8033775633293,2190.55615133556,4.59614884992905,-0.365379619159811,0.187111565278203,0.744447869409735,0.0257580511518431,-0.579405061097221
"781","144_1",4.3956043956044,70.9288299155609,5030.89891319057,5.247372893425,-0.851768497820595,0.169557788263335,0.642121898271403,0.12154236400828,-1.33635026370644
