"","ID_no_Rep_dup","LogPopBio","Time","I(Time^2)","I(Time^3)",".fitted",".resid",".hat",".sigma",".cooksd",".std.resid"
"858","146_1",3.86428959105175,79.5959482738278,6335.51498160987,504281.32276428,4.50455225731325,-0.640262666261499,0.0176070535729887,0.555949883366945,0.00603487459236576,-1.16054876954546
"859","146_1",4.48026051867758,81.0743445737074,6573.04934805624,532905.667744294,4.56899299701666,-0.0887324783390788,0.0177117820355157,0.558465288310873,0.000116623290327929,-0.160846264274781
"860","146_1",3.79835759964132,82.3875569294665,6787.70953680608,559222.805884294,4.6255674581982,-0.827209858556884,0.0177954714380007,0.554226163319303,0.0101852739429381,-1.49955558947288
"861","146_1",4.54437548670269,83.182504660547,6919.32908160192,575567.12357821,4.65951149653784,-0.115136009835149,0.0178417124141706,0.558431672105608,0.00019784796604052,-0.208722018477903
"862","146_1",5.2234230832763,89.5689289001109,8022.59302431312,718575.064189228,4.92401071144218,0.299412371834119,0.0180859362947698,0.55795433755376,0.0013569667204068,0.54285124203488
"863","146_1",4.8662482006749,90.2234702786889,8140.27458912946,734443.822452688,4.95030400649263,-0.0840558058177301,0.0180978700332909,0.558470315620823,0.000107019315843272,-0.152398765599937
"864","146_1",6.71468013309106,93.2587252519055,8697.1898356104,811088.837342855,5.07027866076107,1.64440147232999,0.0181213494886387,0.541364597090957,0.04101344909818,2.98144486757324
"865","146_1",4.01977487788187,97.8157373103334,9567.91846556415,935892.999234311,5.24443942579781,-1.22466454791594,0.0180608654571348,0.549069037865908,0.0226693667630083,-2.22035642623449
"866","146_1",6.7614035915709,98.5146718738938,9705.14057442096,956098.739179094,5.27052557925462,1.49087801231629,0.0180418672576385,0.544458051640085,0.033559496579432,2.70298389744903
"867","146_1",4.44132430327772,98.5693890553838,9715.92445875162,957692.738007407,5.2725608022316,-0.831236498953876,0.0180402749732377,0.554183066048773,0.0104313541008968,-1.50704285087842
"868","146_1",4.70089907261014,98.602425844208,9722.43838236254,958656.009621784,5.27378912649878,-0.572890053888645,0.0180393062625987,0.556461243779919,0.00495461446315524,-1.03865679055081
"869","146_1",4.73334591877669,98.606555442811,9723.25277629616,958776.463970313,5.27394264111532,-0.540596722338631,0.0180391847859452,0.556686563164799,0.0044117519439337,-0.980108518317761
"870","146_1",4.99292068810912,98.6395922316351,9729.76915562325,959740.462018618,5.27517055073377,-0.282249862624647,0.0180382098720159,0.558016759999748,0.00120256182623042,-0.511722224527507
"871","146_1",5.26871888052481,98.6746938197607,9736.69520042352,960765.417718125,5.27647480091544,-0.00775592039062634,0.0180371679898531,0.558514063208666,9.0798905494954e-07,-0.0140615647891274
"872","146_1",4.08363027113764,100.623864360384,10125.162078817,1018832.93564578,5.3482479913393,-1.26461772020166,0.0179697301010753,0.548437888516456,0.0240461752794532,-2.29268642802235
"873","146_1",5.15346768294122,103.210025485523,10652.3093607223,1099425.12059982,5.44151542049549,-0.288047737554265,0.017852517739577,0.5579961921749,0.00123911231239622,-0.522184466945649
"874","146_1",4.82809070958303,105.618613870732,11155.2915959748,1178206.43569068,5.52638757771597,-0.698296868132939,0.0177171885620385,0.555462226842116,0.00722499555361546,-1.26581330532752
"875","146_1",7.09936994124171,105.907685772943,11216.4379057804,1187906.98121712,5.53644562007941,1.5629243211623,0.0176993733971311,0.543052363576739,0.0361560206434463,2.83311088897021
"876","146_1",6.543230997947,118.086904452887,13944.5170032653,1646664.84700624,5.9358243612877,0.607406636659302,0.0167194655546841,0.556208957279766,0.00514828108687015,1.10049645106835
