"","ID_no_Rep_dup","LogPopBio","Time",".fitted",".resid",".hat",".sigma",".cooksd",".std.resid"
"3337","44_1",1.91770749566533,38.59172528222,1.88443112929684,0.0332763663684881,0.140335341633659,0.561964837669255,0.000388136143359738,0.068958538618817
"3338","44_1",2.87286320436215,49.2247223607733,2.57766085921929,0.295202345142864,0.114006251307507,0.547381207811177,0.0233620171445358,0.602588949247014
"3339","44_1",3.88913771516404,60.932182398708,3.34094136237537,0.548196352788674,0.116762448408273,0.509226144395165,0.0830278530154311,1.12076372949491
"3340","44_1",4.68451938639441,71.8861229586349,4.05509534923772,0.629424037156687,0.149470560657278,0.488248109244752,0.151100879602325,1.31134008685178
"3341","44_1",5.30645203703893,88.1705161222461,5.11677395136304,0.189678085675886,0.251932644601407,0.554980578010931,0.0298979035407816,0.421369886111692
"3342","44_1",5.84047408191588,111.39007929641,6.63059845345092,-0.79012437153504,0.50936482399252,0.322410150986086,2.43840524460097,-2.167368741725
"3343","45_1",0.109121207802729,49.0991357811053,0.129441827927218,-0.0203206201244888,0.296572338073201,0.745935929909889,0.000254131862196282,-0.0347207388344897
"3344","45_1",0.168984144111125,98.9151457160599,0.780355433778385,-0.611371289667261,0.219582665526745,0.698630050023916,0.138371856355559,-0.991752511155268
"3345","45_1",0.757008418245299,148.828834101867,1.43254534081749,-0.675536922572193,0.161532995822174,0.691918930950063,0.107666581818598,-1.05722597559684
"3346","45_1",1.57290256415477,174.378726032092,1.76638926583528,-0.193486701680511,0.139212968454992,0.741816129359936,0.00722244020491953,-0.298858068952219
"3347","45_1",2.75020697821979,225.464555828134,2.43389478712972,0.316312191090072,0.109599759250207,0.73515410270786,0.0142024860902378,0.480380111286438
"3348","45_1",3.82927477885565,276.438753108915,3.09994167849507,0.729333100360581,0.100003412545929,0.687074327019571,0.0674339177907809,1.10170980640833
"3349","45_1",4.73642850599051,327.21759348799,3.76343596748453,0.972992538505981,0.110259744748721,0.636002609113835,0.135395107385353,1.47822183175215
"3350","45_1",5.34217444192226,401.774159617531,4.73761843136766,0.6045560105546,0.161156677083865,0.703036801813241,0.0859514357575551,0.945927474238464
"3351","45_1",5.6285118435652,476.470266391148,5.71362418266215,-0.0851123390969448,0.254905526409276,0.745060639698827,0.00341534883457288,-0.141302087327651
"3352","45_1",5.98154967307622,576.367413484801,7.01891564044605,-1.03736596736983,0.44717391208489,0.527654585739413,1.61680201465568,-1.99939892261096
"3353","46_1",1.02548461744657,22.5026890203144,1.41428232895093,-0.388797711504363,0.473887536555005,0.421942278689353,0.630124111970595,-1.18285006692528
"3354","46_1",2.17864850008652,27.8331416239987,2.20631013558329,-0.02766163549677,0.292822531857863,0.522923134093342,0.00109084730318822,-0.0725870155799142
"3355","46_1",3.2582744632987,32.5775235225657,2.91125635091049,0.347018112388208,0.198344621997592,0.473008696285886,0.0904919374946703,0.855270675701977
"3356","46_1",4.16514910914539,40.140626431458,4.03502355299094,0.130125556154446,0.177586210096775,0.516668440895481,0.0108246599205241,0.316637757224267
"3357","46_1",5.48994798399821,46.6711285741916,5.00536128467665,0.484586699321557,0.288055447394499,0.404801498559245,0.324928137604621,1.26734162117795
"3358","46_1",5.59837106444488,54.3319099339367,6.14364208530795,-0.545271020863073,0.569303652098266,0.209047636785631,2.22170820023587,-1.83346285792052
"3359","47_1",1.16209490799648,149.791664545988,1.99285449705135,-0.830759589054871,0.526539667985307,0.759178196698507,1.01741109105725,-1.35266260277782
"3360","47_1",2.98351893511402,225.729683051877,3.02839915682182,-0.0448802217078019,0.295803399587922,1.03019267264731,0.000754062152362745,-0.0599189164462475
