"","ID_no_Rep_dup","LogPopBio","Time","(weights)",".fitted",".resid"
"2603","36_1",0.0287707061900564,24.6416055524216,1,0.0307472610199132,-0.00197655482985681
"2604","36_1",0.0168192385934182,75.6110997145153,1,0.0983542393408663,-0.0815350007474481
"2605","36_1",0.411217669282173,102.087115578577,1,0.504729654656023,-0.0935119853738501
"2606","36_1",1.98881139203718,129.434885549686,1,1.55686491531731,0.431946476719867
"2607","36_1",3.04054054054053,159.805673795238,1,3.18921295069771,-0.148672410157184
"2608","36_1",3.8532403371113,185.733328204865,1,4.51422284147501,-0.660982504363711
"2609","36_1",6.02840743969776,214.304366035865,1,5.63570623984884,0.392701199848918
"2610","36_1",6.63793228712583,238.432270030942,1,6.28949093517436,0.348441351951468
"2611","36_1",6.81720430107527,266.215917055576,1,6.78016138290829,0.037042918166982
"2612","36_1",7.10403952339436,290.484426551789,1,7.04764735302477,0.0563921703695893
"2613","36_1",7.21160273176403,317.143229567328,1,7.22951263007548,-0.0179098983114505
"2614","36_1",7.05623365300784,344.533181188779,1,7.3401101011363,-0.283876448128458
"2615","37_1",0.0487804878048733,24.2718446601942,1,0.029322381084971,0.0194581067199023
"2616","37_1",0.182926829268291,35.9223300970874,1,0.0587495930725131,0.124177236195778
"2617","37_1",0.219512195121947,48.5436893203884,1,0.314368809884063,-0.0948566147621158
"2618","37_1",0.682926829268295,60.1941747572816,1,0.989433060046202,-0.306506230777907
"2619","37_1",2.37804878048781,72.3300970873786,1,2.06082928297121,0.317219497516604
"2620","37_1",3.35365853658537,83.9805825242719,1,3.13939663590846,0.214261900676908
"2621","37_1",3.79268292682927,96.1165048543689,1,4.07542770102935,-0.282744774200079
"2622","37_1",4.63414634146342,108.252427184466,1,4.75028777789503,-0.116141436431611
"2623","37_1",5.17073170731707,117.961165048544,1,5.12305700206407,0.0476747052529962
"2624","37_1",5.53658536585366,153.883495145631,1,5.73392162736471,-0.197336261511055
"2625","37_1",6.14634146341464,166.019417475728,1,5.80365166132124,0.342689802093404
"2626","37_1",5.80487804878049,192.718446601942,1,5.87277401611471,-0.0678959673342234
"2627","38_1",0.146341463414631,10.6796116504854,1,0.353027636116642,-0.206686172702011
"2628","38_1",0.560975609756099,12.621359223301,1,0.376640530113585,0.184335079642514
"2629","38_1",0.963414634146342,25.2427184466019,1,0.898043834491941,0.065370799654401
"2630","38_1",1.24390243902439,31.0679611650485,1,1.43070603016474,-0.186803591140351
"2631","38_1",2.1219512195122,35.4368932038835,1,1.9415721982102,0.180379021302002
"2632","38_1",3.46341463414634,45.1456310679611,1,3.26200351092786,0.201411123218479
"2633","38_1",4.1219512195122,55.3398058252427,1,4.62509970613859,-0.503148486626391
"2634","38_1",5.75609756097561,65.0485436893204,1,5.68635324115396,0.069744319821651
"2635","38_1",7.23170731707318,80.0970873786408,1,6.78733742473365,0.444369892339528
"2636","38_1",7.30487804878049,102.427184466019,1,7.55384999900346,-0.248971950222971
"2637","39_1",0.0731707317073162,72.3300970873786,1,0.177183293766491,-0.104012562059175
"2638","39_1",0.353658536585366,96.1165048543689,1,0.235340303111534,0.118318233473832
"2639","39_1",0.682926829268295,144.174757281553,1,0.643118873092924,0.0398079561753707
"2640","39_1",0.939024390243902,167.47572815534,1,1.03344229177051,-0.0944179015266068
"2641","39_1",2.23170731707317,215.533980582524,1,2.1605481668273,0.0711591502458693
"2642","39_1",3.40243902439025,263.592233009709,1,3.41545813877595,-0.0130191143856973
"2643","39_1",4.4390243902439,311.650485436893,1,4.49487819495141,-0.0558538047075059
"2644","39_1",5.58536585365854,383.495145631068,1,5.58354472442845,0.00182112923008582
"2645","39_1",6.28048780487805,454.854368932039,1,6.15956828996673,0.120919514911322
"2646","39_1",6.41463414634147,550.970873786408,1,6.49935674715631,-0.0847226008148425
"2647","40_1",0.536585365853657,12.621359223301,1,0.615199672940272,-0.0786143070866152
"2648","40_1",0.97560975609756,15.5339805825243,1,0.879535665313318,0.0960740907842422
"2649","40_1",1.68292682926829,20.3883495145631,1,1.67484026446862,0.00808656479966907
"2650","40_1",2.90243902439025,25.7281553398058,1,2.90014280726346,0.00229621712678796
"2651","40_1",3.70731707317073,29.126213592233,1,3.71129163233032,-0.00397455915958611
"2652","40_1",4.71951219512195,35.4368932038835,1,5.01026840693122,-0.290756211809266
"2653","40_1",6.26829268292683,40.7766990291262,1,5.80518543459769,0.463107248329144
"2654","40_1",6.29268292682927,48.0582524271845,1,6.48890199122084,-0.196219064391574
"2655","41_1",NA,NA,NA,NA,NA
"2656","43_1",-0.00376717325434981,13.2930065113312,1,-0.0564306535926837,0.0526634803383339
"2657","43_1",0.603792791050394,37.0986403906121,1,0.729991044957838,-0.126198253907444
"2658","43_1",1.41075633573902,50.5782666083057,1,1.3170008606386,0.093755475100423
"2659","43_1",1.81263339067648,63.0950623818783,1,1.95511291255686,-0.142479521880382
"2660","43_1",2.97556511840172,77.4817027860626,1,2.78084982881147,0.194715289590253
"2661","43_1",3.70885120301849,90.8776046173109,1,3.59752528804603,0.111325914972457
"2662","43_1",3.97565291449085,103.2409056824,1,4.33632271407861,-0.360669799587764
"2663","43_1",5.2371003369334,116.734485964502,1,5.05186242612003,0.185237910813367
"2664","43_1",5.51673978766071,127.102355819311,1,5.49201005632545,0.0247297313352588
"2665","43_1",5.9360594231076,165.266721973961,1,6.17220774437075,-0.236148321263151
